2041,rh.17Networks_RH_ContB_PFCld.label,3
2042,rh.17Networks_RH_ContB_PFClv.label,1
2043,rh.17Networks_RH_ContB_PFCmp.label,10
2044,rh.17Networks_RH_ContC_pCun.label,9
2045,rh.17Networks_RH_ContC_Cingp.label,4
2046,rh.17Networks_RH_DefaultA_Temp.label,5
2047,rh.17Networks_RH_DefaultA_IPL.label,8
2048,rh.17Networks_RH_DefaultA_PFCd.label,1
2049,rh.17Networks_RH_DefaultA_PCC.label,9
2050,rh.17Networks_RH_DefaultA_PFCm.label,3
2051,rh.17Networks_RH_DefaultB_Temp.label,8
2052,rh.17Networks_RH_DefaultB_AntTemp.label,5
2053,rh.17Networks_RH_DefaultB_PFCd.label,3
2054,rh.17Networks_RH_DefaultB_PFCv.label,1
2055,rh.17Networks_RH_DefaultC_IPL.label,5
2056,rh.17Networks_RH_DefaultC_Rsp.label,4
2057,rh.17Networks_RH_DefaultC_PHC.label,7
2058,rh.17Networks_RH_TempPar.label,8
